Price,Close,High,Low,Open,Volume
Ticker,ASK.BK,ASK.BK,ASK.BK,ASK.BK,ASK.BK
Date,,,,,
2022-01-04,38.27818298339844,39.15311288016183,37.84071803501674,39.15311288016183,1347500
2022-01-07,37.18452072143555,37.621985671099495,36.7470557717716,36.96578824660357,1645300
2022-01-10,41.34043502807617,41.34043502807617,38.278180581552014,39.15311042341606,6881500
2022-01-11,41.1217041015625,41.34043657018783,40.02804175843583,41.34043657018783,2143400
2022-01-12,41.1217041015625,42.652831381939826,40.68423916431183,41.1217041015625,3930700
2022-01-13,41.55916976928711,41.99663471422697,40.46550740693745,41.12170482434725,1250400
2022-01-14,41.34043502807617,41.55916748854219,40.90297010714415,41.55916748854219,968100
2022-01-17,40.46550750732422,41.55916987238704,39.80931008828653,41.55916987238704,1456900
2022-01-18,40.46550750732422,40.90297245334935,38.71564772322371,40.46550750732422,1281600
2022-01-19,38.496917724609375,40.02804513411088,38.27818523753773,39.809312647039235,2949800
2022-01-20,38.27818298339844,39.15311288016183,38.27818298339844,38.71564793178013,456000
2022-01-21,39.590579986572266,39.590579986572266,38.27818506989031,38.27818506989031,942900
2022-01-24,38.496917724609375,39.590580159967594,38.496917724609375,39.37184767289595,520800
2022-01-25,40.46550750732422,40.684239980336784,38.49691525021115,38.49691525021115,1819000
2022-01-26,41.1217041015625,42.21536644468916,40.24677422706117,40.24677422706117,1883400
2022-01-27,42.215362548828125,42.215362548828125,40.465502961311934,41.12170030663051,1237500
2022-01-28,42.43409729003906,43.09029467081286,41.77789990926526,42.21536482978113,2609100
2022-01-31,42.87156295776367,42.87156295776367,41.559168173342336,42.65283049369345,827700
2022-02-01,41.34043502807617,43.09029471180426,41.121702567610164,43.09029471180426,1146000
2022-02-02,41.1217041015625,42.21536644468916,40.90297163293717,41.1217041015625,1146800
2022-02-03,40.90296936035156,41.777899186241434,40.90296936035156,41.3404342732965,583600
2022-02-04,41.99663162231445,42.43409653504689,40.902969340483345,41.121701796849564,1019600
2022-02-07,41.1217041015625,42.652831381939826,41.1217041015625,42.652831381939826,1490100
2022-02-08,41.1217041015625,41.34043657018783,40.90297163293717,41.1217041015625,356900
2022-02-09,39.80930709838867,41.340434294480545,39.59057464180412,41.12170183789599,858400
2022-02-10,38.71564483642578,40.0280395766436,38.49691237972281,40.0280395766436,2403200
2022-02-11,36.309593200683594,38.27818560313029,35.8721282223621,38.059453113969546,4759800
2022-02-14,38.0594482421875,39.153110547997485,34.99719378591954,35.65339116940553,2488100
2022-02-15,38.0594482421875,38.71564562567349,37.6219833198635,38.71564562567349,628500
2022-02-17,39.15311050415039,39.37184296506743,38.49691312139927,38.49691312139927,1296800
