Price,Close,High,Low,Open,Volume
Ticker,EPG.BK,EPG.BK,EPG.BK,EPG.BK,EPG.BK
Date,,,,,
2022-01-04,10.718505859375,10.718505859375,10.268148455888847,10.268148455888847,43480100
2022-01-07,10.988720893859863,11.258935518091787,10.898649925108295,11.258935518091787,17596200
2022-01-10,10.988720893859863,11.168863690351609,10.988720893859863,11.078792721600042,6578100
2022-01-11,11.168863296508789,11.349006945636818,10.98872050636934,10.98872050636934,13735200
2022-01-12,10.988720893859863,11.168863690351609,10.898649925108295,11.078792721600042,18108000
2022-01-13,11.0787935256958,11.0787935256958,10.898650716129339,10.988721691418233,6622700
2022-01-14,11.0787935256958,11.0787935256958,10.898650716129339,10.988721691418233,9229800
2022-01-17,10.718505859375,11.078792297557069,10.628434894070915,10.988720473264406,20313400
2022-01-18,10.718505859375,10.898649507960323,10.628434894070915,10.718505859375,8250700
2022-01-19,10.178077697753906,10.628435110406834,10.088005871627882,10.628435110406834,21915400
2022-01-20,9.817791938781738,10.268149382927481,9.817791938781738,10.178078409491526,22797800
2022-01-21,9.727720260620117,9.907863053430221,9.457505641910666,9.907863053430221,18843900
2022-01-24,9.36743450164795,9.727720972627427,9.36743450164795,9.727720972627427,24230000
2022-01-25,9.547578811645508,9.547578811645508,9.277364154902953,9.367435134491329,18893300
2022-01-26,9.36743450164795,9.637649140135395,9.09722072214916,9.547578166632016,17787700
2022-01-27,9.277362823486328,9.277362823486328,9.007148205522922,9.277362823486328,9328800
2022-01-28,9.277362823486328,9.367433790148404,9.097220031173588,9.277362823486328,13163100
2022-01-31,9.187291145324707,9.367433940529388,9.187291145324707,9.277362972421349,6533100
2022-02-01,9.36743450164795,9.457506334139982,9.187291695652537,9.36743450164795,9501100
2022-02-02,9.36743450164795,9.457506334139982,9.277363528144571,9.36743450164795,6337100
2022-02-03,9.36743450164795,9.547578166632016,9.36743450164795,9.457506334139982,8072700
2022-02-04,9.277362823486328,9.457505615799068,9.187290997835662,9.457505615799068,12256500
2022-02-07,9.457505226135254,9.637648011025833,9.367433404195687,9.367433404195687,18036900
2022-02-08,9.637648582458496,9.81779137803005,9.457505786886943,9.457505786886943,17219700
2022-02-09,9.457505226135254,9.7277198329654,9.367433404195687,9.7277198329654,15993600
2022-02-10,9.457505226135254,9.637648011025833,9.457505226135254,9.547577048074821,10801700
2022-02-11,9.457505226135254,9.547577048074821,9.367433404195687,9.457505226135254,4437200
2022-02-14,9.097220420837402,9.36743419138636,9.007148591328665,9.277363220866249,27333300
2022-02-15,9.36743450164795,9.457506334139982,9.09722072214916,9.187291695652537,11951500
2022-02-17,9.547578811645508,9.637649791233883,9.367435134491329,9.45750697306842,8127000
2022-02-18,9.457505226135254,9.547577048074821,9.277362441244675,9.457505226135254,11202900
2022-02-21,9.277362823486328,9.457505615799068,9.277362823486328,9.367433790148404,8933100
2022-02-22,9.097220420837402,9.277363220866249,9.097220420837402,9.187291391357512,11198300
2022-02-23,9.277362823486328,9.277362823486328,9.097220031173588,9.187290997835662,9302500
2022-02-24,8.917076110839844,9.277362543583903,8.917076110839844,9.187290720650747,22639600
2022-02-25,9.007147789001465,9.097219610486901,8.91707596751603,8.962111878258748,12515100
2022-02-28,8.872041702270508,9.097220416957692,8.781969872800182,9.007148587487366,10626200
2022-03-01,9.007147789001465,9.097219610486901,8.872040915761863,8.872040915761863,5515000
